ID,Rating,Votes,Title,Author
25957239,9.1,244,素描的诀窍（15周年畅销版）,[美]伯特·多德森
27178870,9.1,244,格鲁夫给经理人的第一课,
34784637,9.1,244,凪的新生活 1,コナリ ミサト
2032347,8.8,317,怎样欣赏音乐,[美] 艾伦·科普兰
2296820,8.8,317,现象学的观念,[德] 埃德蒙德·胡塞尔
3842681,8.8,317,面对危机中的世界,克里希那穆提
1766120,8.2,581,褐色鸟群,格非
3410752,8.2,581,宽容,房龙
30292813,7.3,1916,2023非虚构成长,
2973346,7.8,939,透明,[美] 弗拉基米尔·纳博科夫
26737134,7.8,939,就要一场绚丽突围,
1312733,7.6,1228,理工大往事外传,
25870596,7.7,1071,奥黛丽·赫本,[美]唐纳德·斯伯特
26294024,7.7,1071,纸牌屋 2,迈克尔·道布斯
1290673,8.0,732,十六岁少女 孤女俱乐部,
1034274,9.4,192,5月35日,（德）埃里希・凯斯特纳
10539976,9.4,192,千 螺旋の錠,
1888581,8.4,468,我爱美元,朱文
1937055,8.4,468,蝇王,(英)戈尔丁
27005502,8.4,468,聖母,
1700856,9.5,178,红楼梦,
2268837,9.5,178,东周列国故事新编（全二册）,林汉达
3273615,9.5,178,Poor Charlie's Almanack,Charles T. Munger
1088029,8.3,520,奥德赛,荷马
2226479,7.7,1070,怪指纹,
3301786,10.0,126,HUNTER×HUNTER NO. 4,
26362975,7.8,938,藏在这世间的美好,鼹鼠的土豆
1106878,8.1,650,红字,纳撒尼尔·霍桑
1915924,8.1,650,动物必须刷牙吗？,亨宁.维斯纳著 / 君特.马泰插图
11528311,7.9,826,耶稣之子,
1283295,8.2,580,平衡的智慧,[美] 帕特·基辛格
3879995,8.2,580,異国色恋浪漫譚,
1017637,9.0,265,丁丁在中国西藏,
1072673,9.0,265,中国小说史略,鲁迅
1074525,9.0,265,杨小凯谈经济,杨小凯
30187222,9.0,265,夜航西飞,[英]柏瑞尔·马卡姆
1771002,8.6,382,托马斯.曼文集-中短篇小说选,（德）托马斯·曼
6313499,8.6,382,茫茫黑夜漫游,路易·费迪南·塞利纳
1005381,8.7,347,音乐圣经,林逸聪
1456336,8.7,347,In Cold Blood,[美] 杜鲁门·卡波特
2594830,8.7,347,从战争中走来：两代军人的对话,张胜
3628934,8.7,347,晚清七十年 【伍】,唐德剛
27007349,8.7,347,朝话,
3063079,8.9,289,法语现代语法,
27133036,8.4,467,沉思录,（古罗马）马可•奥勒留
6750510,7.9,825,设计心理学2,[美] 唐纳德·A·诺曼
10520377,7.4,1637,废都,
26791407,6.4,10917,孤独深处,郝景芳
1127363,9.3,207,影尘回忆录,倓虚
1773084,9.3,207,沈从文文集,沈从文
26290823,9.3,207,月刊少女野崎くん 6,椿いづみ
1119239,7.7,1068,爱何必百分百,
26652242,7.7,1068,文明是副产品,郑也夫
6729589,8.1,649,救命饮食,T•柯林•坎贝尔
30314820,8.1,649,常识与通识,阿城
1791805,8.8,316,紫川（6）：特兰攻歼,
27173639,8.8,316,艾略特·厄威特的纽约,[美] 艾略特·厄威特 / Elliott Erwitt
1060708,8.3,519,伊豆的舞女,川端康成
1936511,8.3,519,孟子他说,熊逸
2377940,8.3,519,抵抗的群体,约翰·伯格
10786476,7.8,936,每周工作4小时,蒂莫西·费里斯
1936439,8.2,579,英国,中央电视台《大国崛起》节目组  编著
4293667,8.2,579,狗狗心事,
1388659,9.2,224,Harry Potter and the Chamber of Secrets,
1442230,9.2,224,人间词话,王国维著
2224276,9.2,224,舒克贝塔德国游,
4737019,9.2,224,在国家与社会之间,刘志伟
10559285,9.2,224,特朗斯特罗姆诗歌全集,[瑞典] 托马斯·特朗斯特罗姆
10599776,9.2,224,Practical Vim,Drew Neil
4133007,7.4,1635,一只牡羊的金刚经笔记,
1857240,8.5,421,榆树下的欲望 漫长的旅程,（美）尤金·奥尼尔著
26738072,8.5,421,这就是二十四节气,高春香 邵敏 著 / 许明振 李婧 绘
26844877,8.5,421,神秘的量子生命,吉姆•艾尔·哈利利 / 约翰乔•麦克法登
25872094,7.3,1907,如何看一幅画,[法]弗朗索瓦丝・芭布－高尔（Françoise Barbe-Gall）
26939182,7.8,935,欢愉,
27130074,8.0,729,沙丘3,
1169104,9.1,243,产权的经济分析,Y.巴泽尔
1228096,9.1,243,文学与文化三论,邓晓芒
25889904,9.1,243,我的青春恋爱喜剧果然有问题 08,
26693406,9.1,243,乱世华尔街,渔阳
26791269,9.1,243,请你种下这本诗集,
6885709,8.1,648,未来闪影,[加拿大] 罗伯特·索耶 / Robert J. Sawyer
26388169,9.6,165,大野智作品集 FREESTYLE II,大野 智
